session,candidateSize,budget,algo,planSize,executedSize,im,avgDist,optiTime,execTime,reoptGood,reoptBad,imOfOPT
data/ssb_converted/explorative.xml_5,6,4000,NAIVE,6,6,26.691329846665333,0.04629629629629626,0.1532,137,0,0,1.5822199502515064
data/ssb_converted/explorative.xml_5,6,4000,TAP,6,6,26.691329846665333,0.046296296296296224,4,142,6,0,1.5822199502515064
data/ssb_converted/explorative.xml_5,6,5000,OPT,6,6,26.691329846665333,0.04814814814814814,75,145,0,0,1
data/ssb_converted/explorative.xml_5,6,5000,NAIVE,6,6,26.691329846665333,0.04629629629629626,0.1484,135,0,0,2.086611063977422
data/ssb_converted/explorative.xml_5,6,5000,TAP,6,6,26.691329846665333,0.04629629629629626,4,140,6,0,2.086611063977422
data/ssb_converted/explorative.xml_5,6,6000,OPT,5,5,22.329578393364343,0.04222222222222216,46,116,0,0,1
data/ssb_converted/explorative.xml_5,6,6000,NAIVE,6,6,26.691329846665333,0.0462962962962963,0.1449,135,0,0,1.8300385592581139
data/ssb_converted/explorative.xml_5,6,6000,TAP,6,6,26.691329846665333,0.04629629629629626,4,143,6,0,1.8300385592581139
data/ssb_converted/explorative.xml_5,6,7000,OPT,2,2,8.924334274324847,0.0222222222222222,70,80,0,0,1
data/ssb_converted/explorative.xml_5,6,7000,NAIVE,6,6,26.691329846665333,0.04629629629629626,0.102,141,0,0,1.6979361095569365
data/ssb_converted/explorative.xml_5,6,7000,TAP,6,6,26.691329846665333,0.04629629629629626,3,137,6,0,1.6979361095569365
data/ssb_converted/explorative.xml_5,6,8000,OPT,5,5,22.192154252248287,0.04222222222222216,54,344,0,0,1
data/ssb_converted/explorative.xml_5,6,8000,NAIVE,6,6,26.691329846665333,0.04814814814814811,0.1806,135,0,0,1.4473612014751995
data/ssb_converted/explorative.xml_5,6,8000,TAP,6,6,26.691329846665333,0.04814814814814811,4,362,6,0,1.4473612014751995
data/ssb_converted/explorative.xml_5,6,9000,OPT,6,6,26.691329846665333,0.04629629629629626,45,136,0,0,1
data/ssb_converted/explorative.xml_5,6,9000,NAIVE,6,6,26.691329846665333,0.04814814814814811,0.2012,135,0,0,1.6445007941023535
data/ssb_converted/explorative.xml_5,6,9000,TAP,6,6,26.691329846665333,0.0462962962962963,3,138,6,0,1.6445007941023535
data/ssb_converted/explorative.xml_5,6,10000,OPT,3,3,13.405244119039498,0.040740740740740744,71,66,0,0,1
data/ssb_converted/explorative.xml_5,6,10000,NAIVE,6,6,26.691329846665333,0.0462962962962963,0.1097,136,0,0,1.773140212733664
data/ssb_converted/explorative.xml_5,6,10000,TAP,6,6,26.691329846665333,0.04629629629629626,4,138,6,0,1.773140212733664
data/ssb_converted/explorative.xml_6,5,1000,OPT,2,2,10.034031033839174,0.0222222222222222,2,7804,0,0,1
data/ssb_converted/explorative.xml_6,5,1000,NAIVE,5,1,5.088753622137807,0.0,0.0662,336,0,0,0.5077412118717661
data/ssb_converted/explorative.xml_6,5,1000,TAP,2,5,10.053963134858428,0.027777777777777735,1,2113,1,1,1.0031555475587215
data/ssb_converted/explorative.xml_6,5,2000,OPT,3,3,14.932958692081428,0.03333333333333329,7,8638,0,0,1
data/ssb_converted/explorative.xml_6,5,2000,NAIVE,5,1,5.088753622137807,0.0,0.0393,336,0,0,0.34139441408617316
data/ssb_converted/explorative.xml_6,5,2000,TAP,2,5,10.053963134858428,0.027777777777777735,1,1389,1,1,0.6745004982628785
data/ssb_converted/explorative.xml_6,5,3000,OPT,2,2,9.910486924421988,0.027777777777777735,16,9449,0,0,1
data/ssb_converted/explorative.xml_6,5,3000,NAIVE,5,1,5.088753622137807,0.0,0.0195,427,0,0,0.39235298810187347
data/ssb_converted/explorative.xml_6,5,3000,TAP,3,5,14.999240546559797,0.03703703703703698,1,8936,2,1,1.1564711685194935
data/ssb_converted/explorative.xml_6,5,4000,OPT,3,3,14.932958692081428,0.03703703703703698,23,32314,0,0,1
data/ssb_converted/explorative.xml_6,5,4000,NAIVE,5,1,5.088753622137807,0.0,0.0185,351,0,0,0.35693942737417583
data/ssb_converted/explorative.xml_6,5,4000,TAP,3,5,14.999240546559797,0.03333333333333329,1,8550,2,1,1.0520887292412109
data/ssb_converted/explorative.xml_6,5,5000,OPT,3,3,14.932958692081428,0.03333333333333329,15,9031,0,0,1
data/ssb_converted/explorative.xml_6,5,5000,NAIVE,5,1,5.088753622137807,0.0,0.019,355,0,0,0.33771880192266174
data/ssb_converted/explorative.xml_6,5,5000,TAP,3,5,14.999240546559797,0.03333333333333329,1,8712,2,1,0.9954354097823144
data/ssb_converted/explorative.xml_6,5,6000,OPT,3,3,14.932958692081428,0.03333333333333329,5,10333,0,0,1
data/ssb_converted/explorative.xml_6,5,6000,NAIVE,5,1,5.088753622137807,0.0,0.0374,366,0,0,0.32355279794578284
data/ssb_converted/explorative.xml_6,5,6000,TAP,3,5,14.999240546559797,0.03703703703703698,1,8395,2,1,0.9536807254312443
data/ssb_converted/explorative.xml_6,5,7000,OPT,3,3,14.932958692081428,0.03333333333333329,17,8590,0,0,1
data/ssb_converted/explorative.xml_6,5,7000,NAIVE,5,1,5.088753622137807,0.0,0.0386,333,0,0,0.35660478693014913
data/ssb_converted/explorative.xml_6,5,7000,TAP,3,5,14.999240546559797,0.03333333333333329,1,8423,2,1,1.051102367375561
data/ssb_converted/explorative.xml_6,5,8000,OPT,4,4,19.878236103782797,0.038888888888888834,17,16577,0,0,1
data/ssb_converted/explorative.xml_6,5,8000,NAIVE,5,1,5.088753622137807,0.0,0.0412,336,0,0,0.33771880192266174
data/ssb_converted/explorative.xml_6,5,8000,TAP,3,5,14.999240546559797,0.03333333333333329,1,8405,2,1,0.9954354097823144
data/ssb_converted/explorative.xml_6,5,9000,OPT,3,3,14.898793638299018,0.03333333333333329,10,7940,0,0,1
data/ssb_converted/explorative.xml_6,5,9000,NAIVE,5,1,5.088753622137807,0.0,0.0168,334,0,0,0.2896347952116994
data/ssb_converted/explorative.xml_6,5,9000,TAP,4,5,19.878236103782797,0.036111111111111066,1,15590,3,1,1.1314025536709358
data/ssb_converted/explorative.xml_6,5,10000,OPT,2,2,10.034031033839174,0.0222222222222222,17,7425,0,0,1
data/ssb_converted/explorative.xml_6,5,10000,NAIVE,5,1,5.088753622137807,0.0,0.038,341,0,0,0.36284431409431905
data/ssb_converted/explorative.xml_6,5,10000,TAP,4,5,19.878236103782797,0.038888888888888834,1,15774,3,1,1.4173814415192516
data/ssb_converted/explorative.xml_7,5,1000,OPT,5,5,25.500802651400175,0.039999999999999945,16,116,0,0,1
data/ssb_converted/explorative.xml_7,5,1000,NAIVE,5,3,15.39455529628126,0.03333333333333329,0.0551,68,0,0,0.8484216052547151
data/ssb_converted/explorative.xml_7,5,1000,TAP,5,5,25.500802651400175,0.0422222222222222,1,116,5,0,1.4053950571739433
data/ssb_converted/explorative.xml_7,5,2000,OPT,5,5,25.500802651400175,0.0422222222222222,16,116,0,0,1
