id,budget,algorithm,im,avgDist,optTime,execTime,candidates,nbExecuted
3-14.json,2000,NAIVE,142.38931520401366,0.39130434782608725,12,47,29,21
3-14.json,2000,TAP,196.1312614093169,0.6086956521739133,39,64,29,29
3-14.json,2500,NAIVE,142.38931520401366,0.40338164251207775,5,43,29,21
3-14.json,2500,TAP,196.1312614093169,0.6135265700483099,39,63,29,29
3-14.json,3000,NAIVE,142.38931520401366,0.4057971014492756,5,40,29,21
3-14.json,3000,TAP,196.1312614093169,0.6352657004830923,36,60,29,29
3-14.json,4000,NAIVE,142.38931520401366,0.39371980676328555,5,41,29,21
3-14.json,4000,TAP,196.1312614093169,0.6183574879227056,36,63,29,29
3-14.json,5000,NAIVE,142.38931520401366,0.37439613526570115,5,42,29,21
3-14.json,5000,TAP,196.1312614093169,0.6256038647342996,38,68,29,29
3-15.json,500,NAIVE,26.54459014316924,0.05797101449275366,3,421,35,4
3-15.json,500,TAP,39.82621754744294,0.1086956521739132,30,335,35,6
3-15.json,1000,NAIVE,46.38740671663355,0.09903381642512088,9,81,35,7
3-15.json,1000,TAP,19.94292296891261,0.05797101449275366,11,982,35,3
3-15.json,1500,NAIVE,73.12320640666233,0.19806763285024165,4,821,35,11
3-15.json,1500,TAP,60.21119870737961,0.21739130434782616,34,1456,35,9
3-15.json,2000,NAIVE,93.17970604483286,0.2560386473429952,11,885,35,14
3-15.json,2000,TAP,173.8506982370564,0.5458937198067637,83,1897,35,26
3-15.json,2500,NAIVE,113.31730134942156,0.33574879227053167,22,364,35,17
3-15.json,2500,TAP,231.98536911451444,0.6038647342995176,92,850,35,35
3-15.json,3000,NAIVE,133.42485120152944,0.42512077294686035,7,364,35,20
3-15.json,3000,TAP,231.98536911451444,0.5990338164251214,88,450,35,35
3-15.json,4000,NAIVE,180.50059878829202,0.5652173913043479,9,413,35,27
3-15.json,4000,TAP,231.98536911451444,0.6086956521739136,81,449,35,35
3-15.json,5000,NAIVE,180.50059878829202,0.5700483091787445,9,416,35,27
3-15.json,5000,TAP,231.98536911451444,0.6062801932367157,64,451,35,35
4-16.json,500,NAIVE,27.389883448238308,0.08695652173913049,1,1175,29,4
4-16.json,500,TAP,41.12573670193876,0.1376811594202899,36,529,29,6
4-16.json,1000,NAIVE,61.743191077942555,0.18840579710144933,7,497,29,9
4-16.json,1000,TAP,89.23608041991865,0.29227053140096626,67,929,29,13
4-16.json,1500,NAIVE,96.1505171188886,0.3115942028985508,15,354,29,14
4-16.json,1500,TAP,198.69954567876533,0.6304347826086957,65,1153,29,29
4-16.json,2000,NAIVE,123.73806915781242,0.3864734299516911,4,115,29,18
4-16.json,2000,TAP,198.69954567876533,0.594202898550725,50,160,29,29
4-16.json,2500,NAIVE,158.07576324342418,0.48550724637681175,6,123,29,23
4-16.json,2500,TAP,198.69954567876533,0.6183574879227057,45,130,29,29
4-16.json,3000,NAIVE,158.07576324342418,0.5072463768115945,6,106,29,23
4-16.json,3000,TAP,198.69954567876533,0.6280193236714976,45,124,29,29
4-16.json,4000,NAIVE,158.07576324342418,0.49033816425120813,6,106,29,23
4-16.json,4000,TAP,198.69954567876533,0.6183574879227054,43,131,29,29
4-16.json,5000,NAIVE,158.07576324342418,0.47101449275362317,7,137,29,23
4-16.json,5000,TAP,198.69954567876533,0.6038647342995171,45,132,29,29
4-17.json,500,NAIVE,34.01834919758275,0.0869565217391306,2,87,29,5
4-17.json,500,TAP,197.37386407500412,0.6014492753623192,40,184,29,29
4-17.json,1000,NAIVE,61.304201753134635,0.17391304347826098,2,89,29,9
4-17.json,1000,TAP,197.37386407500412,0.6183574879227057,46,128,29,29
4-17.json,1500,NAIVE,95.47257029418967,0.280193236714976,3,73,29,14
4-17.json,1500,TAP,197.37386407500412,0.6256038647343001,49,103,29,29
4-17.json,2000,NAIVE,129.66076635752356,0.3574879227053144,4,81,29,19
4-17.json,2000,TAP,197.37386407500412,0.6256038647343001,48,108,29,29
4-17.json,2500,NAIVE,150.1330141263709,0.4396135265700487,5,88,29,22
4-17.json,2500,TAP,197.37386407500412,0.5966183574879232,55,131,29,29
4-17.json,3000,NAIVE,150.1330141263709,0.43236714975845425,6,107,29,22
4-17.json,3000,TAP,197.37386407500412,0.6086956521739136,47,118,29,29
4-17.json,4000,NAIVE,150.1330141263709,0.43236714975845414,5,78,29,22
4-17.json,4000,TAP,197.37386407500412,0.6183574879227055,39,100,29,29
4-17.json,5000,NAIVE,150.1330141263709,0.41304347826087007,6,89,29,22
4-17.json,5000,TAP,197.37386407500412,0.6328502415458941,42,100,29,29
4-18.json,500,NAIVE,40.62733216255327,0.12318840579710144,2,21,29,6
4-18.json,500,TAP,196.02783305297635,0.63768115942029,36,107,29,29
4-18.json,1000,NAIVE,81.33458572244216,0.24154589371980695,3,32,29,12
4-18.json,1000,TAP,196.02783305297635,0.6038647342995171,49,79,29,29
4-18.json,1500,NAIVE,122.0367002941237,0.3333333333333338,4,39,29,18
4-18.json,1500,TAP,196.02783305297635,0.6473429951690821,48,67,29,29
4-18.json,2000,NAIVE,135.5952267970257,0.386473429951691,5,45,29,20
4-18.json,2000,TAP,196.02783305297635,0.6280193236714982,45,75,29,29
4-18.json,2500,NAIVE,135.5952267970257,0.3913043478260869,5,52,29,20
4-18.json,2500,TAP,196.02783305297635,0.6280193236714977,41,72,29,29
4-18.json,3000,NAIVE,135.5952267970257,0.3550724637681164,5,45,29,20
4-18.json,3000,TAP,196.02783305297635,0.6207729468599039,43,82,29,29
4-18.json,4000,NAIVE,135.5952267970257,0.3647342995169087,7,43,29,20
4-18.json,4000,TAP,196.02783305297635,0.6352657004830922,36,71,29,29
4-18.json,5000,NAIVE,135.5952267970257,0.37198067632850274,4,44,29,20
4-18.json,5000,TAP,196.02783305297635,0.6280193236714979,36,67,29,29
4-19.json,500,NAIVE,40.89069093061521,0.11594202898550732,2,32,29,6
4-19.json,500,TAP,197.57037464570507,0.6280193236714979,37,100,29,29
4-19.json,1000,NAIVE,81.81299428807114,0.2681159420289857,3,33,29,12
4-19.json,1000,TAP,197.57037464570507,0.6038647342995169,48,77,29,29
4-19.json,1500,NAIVE,122.99145875475477,0.37681159420289856,4,46,29,18
